0.036062, -0.006034, -0.003237
0.075666, -0.005550, -0.021233
0.114334, -0.004123, -0.040593
0.126841, -0.003490, -0.047345
0.163199, -0.001204, -0.068542
0.198099, 0.002031, -0.090808
0.232314, 0.006982, -0.113501
0.266371, 0.014381, -0.135780
0.300290, 0.024680, -0.156799
0.333592, 0.037966, -0.175878
0.365487, 0.053997, -0.192622
0.395160, 0.072317, -0.206992
0.422052, 0.092412, -0.219295
0.446068, 0.113853, -0.230083
0.467613, 0.136397, -0.239941
0.484817, 0.156802, -0.247974
0.503340, 0.181329, -0.256394
0.520220, 0.206652, -0.263842
0.534937, 0.232165, -0.270893
0.547231, 0.257196, -0.278230
0.557342, 0.281210, -0.286246
0.565981, 0.303903, -0.294918
0.574128, 0.325227, -0.303855
0.582744, 0.345347, -0.312468
0.592486, 0.364553, -0.320192
0.603506, 0.383141, -0.326692
0.615444, 0.401283, -0.331994
0.626053, 0.416598, -0.335894
0.638227, 0.433450, -0.340013
0.650350, 0.449212, -0.344023
0.662552, 0.464042, -0.348034
0.674960, 0.478289, -0.352036
0.687644, 0.492321, -0.355960